Card,Floor,Picked,Act,Boss
Sweeping Beam,1.0,True,1,False
Beam Cell,1.0,False,1,False
Scrape,1.0,False,1,False
SKIP,1.0,False,1,False
FTL,3.0,True,1,False
Sweeping Beam,3.0,False,1,False
Steam Power,3.0,False,1,False
SKIP,3.0,False,1,False
Claw,7.0,True,1,False
Stack,7.0,False,1,False
Conserve Battery,7.0,False,1,False
SKIP,7.0,False,1,False
Auto Shields,8.0,True,1,False
Compile Driver,8.0,False,1,False
Steam,8.0,False,1,False
SKIP,8.0,False,1,False
Static Discharge,11.0,True,1,False
Conserve Battery,11.0,False,1,False
Hello World,11.0,False,1,False
SKIP,11.0,False,1,False
Redo,12.0,True,1,False
Chill,12.0,False,1,False
Force Field,12.0,False,1,False
SKIP,12.0,False,1,False
Conserve Battery,13.0,True,1,False
Sweeping Beam,13.0,False,1,False
Barrage,13.0,False,1,False
SKIP,13.0,False,1,False
Barrage,14.0,True,1,False
Blizzard,14.0,False,1,False
Scrape,14.0,False,1,False
SKIP,14.0,False,1,False
Machine Learning,16.0,True,1,True
Electrodynamics,16.0,False,1,True
Multi-Cast,16.0,False,1,True
SKIP,16.0,False,1,True
Coolheaded,17.0,True,2,False
Heatsinks,17.0,False,2,False
Claw,17.0,False,2,False
SKIP,17.0,False,2,False
Coolheaded,18.0,True,2,False
BootSequence,18.0,False,2,False
Barrage,18.0,False,2,False
SKIP,18.0,False,2,False
Self Repair,22.0,True,2,False
Steam,22.0,False,2,False
Beam Cell,22.0,False,2,False
SKIP,22.0,False,2,False
White Noise,23.0,True,2,False
Storm,23.0,False,2,False
Steam,23.0,False,2,False
SKIP,23.0,False,2,False
Ball Lightning,28.0,True,2,False
Coolheaded,28.0,False,2,False
Sweeping Beam,28.0,False,2,False
SKIP,28.0,False,2,False
Tempest,29.0,True,2,False
Glacier,29.0,False,2,False
BootSequence,29.0,False,2,False
SKIP,29.0,False,2,False
Doom and Gloom,31.0,True,2,False
Conserve Battery,31.0,False,2,False
Stack,31.0,False,2,False
SKIP,31.0,False,2,False
Fusion,32.0,True,2,False
Reinforced Body,32.0,False,2,False
Hologram,32.0,False,2,False
SKIP,32.0,False,2,False
All For One,33.0,True,2,True
Biased Cognition,33.0,False,2,True
Buffer,33.0,False,2,True
SKIP,33.0,False,2,True
Stack,35.0,True,3,False
Barrage,35.0,False,3,False
Ball Lightning,35.0,False,3,False
SKIP,35.0,False,3,False
Loop,40.0,True,3,False
Defragment,40.0,False,3,False
Reprogram,40.0,False,3,False
SKIP,40.0,False,3,False
Darkness,41.0,True,3,False
Auto Shields,41.0,False,3,False
Reboot,41.0,False,3,False
SKIP,41.0,False,3,False
Stack,44.0,True,3,False
Beam Cell,44.0,False,3,False
Cold Snap,44.0,False,3,False
SKIP,44.0,False,3,False
Redo,45.0,True,3,False
Cold Snap,45.0,False,3,False
Streamline,45.0,False,3,False
SKIP,45.0,False,3,False
Sweeping Beam,0.0,True,1,False
Heatsinks,0.0,False,1,False
Chill,0.0,False,1,False
SKIP,0.0,False,1,False
Barrage,1.0,True,1,False
Stack,1.0,False,1,False
Beam Cell,1.0,False,1,False
SKIP,1.0,False,1,False
