Card,Count
Strike_G,245
Strike_R,236
Defend_P,132
Strike_P,110
Strike_B,103
Defend_G,71
Doubt,31
Bite,25
Normality,19
Regret,18
Defend_B,17
Decay,16
Pain,16
Defend_R,14
Writhe,9
Shame,7
Zap,7
Flying Knee,7
Anger,6
Parasite,5
Dagger Spray,5
Eruption,4
Envenom,4
Bash,4
Poisoned Stab,4
All Out Attack,4
Slice,3
Grand Finale,3
Sucker Punch,3
Dagger Throw,3
Masterful Stab,3
PathToVictory,3
Injury,3
Conclude,3
Perfected Strike,3
FollowUp,3
Deadly Poison,3
Blizzard,2
Finisher,2
Backstab,2
Underhanded Strike,2
Twin Strike,2
Dualcast,2
Blade Dance,2
CrushJoints,2
Unload,2
Cold Snap,2
Flex,2
Combust,2
Flechettes,2
Worship,2
EmptyFist,2
BowlingBash,2
ForeignInfluence,2
Bane,2
WindmillStrike,2
CarveReality,2
Protect,2
HandOfGreed,2
Steam,2
Hello World,2
Sweeping Beam,2
Crescendo,2
Reprogram,2
Chaos,1
Creative AI,1
Body Slam,1
Fire Breathing,1
Rupture,1
Thunderclap,1
Lockon,1
Hyperbeam,1
Streamline,1
Beam Cell,1
Outmaneuver,1
Heel Hook,1
Bullet Time,1
Blood for Blood,1
Noxious Fumes,1
Searing Blow,1
Entrench,1
Uppercut,1
Dual Wield,1
Corruption,1
Hemokinesis,1
Rage,1
Havoc,1
Clothesline,1
Barricade,1
Wild Strike,1
Clash,1
Clumsy,1
Rebound,1
Rip and Tear,1
Thunder Strike,1
Tempest,1
Scrape,1
Leap,1
Cleave,1
Perseverance,1
WreathOfFlame,1
Well Laid Plans,1
Die Die Die,1
Skewer,1
Infinite Blades,1
Endless Agony,1
Predator,1
Deflect,1
Distraction,1
Bouncing Flask,1
Evaluate,1
Glass Knife,1
Storm of Steel,1
FearNoEvil,1
Quick Slash,1
Conserve Battery,1
Caltrops,1
Choke,1
FlurryOfBlows,1
JustLucky,1
Dash,1
Pray,1
Brilliance,1
ReachHeaven,1
MasterReality,1
FlyingSleeves,1
ThirdEye,1
Meditate,1
CutThroughFate,1
Blasphemy,1
SandsOfTime,1
SignatureMove,1
ClearTheMind,1
Weave,1
Wish,1
Indignation,1
Swivel,1
Wireheading,1
