Enemy,Damage Taken
Snake Plant,100027.0
The Heart,185.0
Shield and Spear,183.0
Donu and Deca,176.0
The Heart,168.0
Time Eater,154.0
The Heart,151.0
The Heart,148.0
Collector,148.0
Champ,143.0
Time Eater,140.0
Collector,139.0
The Heart,136.0
Automaton,136.0
The Heart,135.0
Automaton,130.0
Shield and Spear,127.0
Collector,126.0
Awakened One,124.0
Time Eater,121.0
The Heart,120.0
The Heart,119.0
The Heart,119.0
The Heart,118.0
2 Orb Walkers,118.0
The Heart,118.0
Collector,117.0
Awakened One,116.0
The Heart,116.0
The Heart,115.0
Gremlin Nob,115.0
The Heart,115.0
The Heart,114.0
Collector,113.0
The Heart,112.0
The Heart,112.0
Time Eater,112.0
The Heart,112.0
The Heart,110.0
The Heart,110.0
The Heart,110.0
Automaton,110.0
The Heart,109.0
Nemesis,107.0
Shield and Spear,106.0
Awakened One,106.0
The Heart,106.0
Gremlin Nob,105.0
2 Orb Walkers,105.0
Champ,105.0
Shield and Spear,104.0
The Heart,103.0
Automaton,103.0
The Heart,102.0
Gremlin Nob,102.0
Slavers,102.0
The Heart,101.0
Collector,101.0
Donu and Deca,101.0
4 Shapes,101.0
Lagavulin Event,100.0
Reptomancer,100.0
The Heart,100.0
Time Eater,99.0
The Heart,99.0
Reptomancer,99.0
Automaton,99.0
Champ,98.0
Writhing Mass,98.0
The Heart,98.0
Awakened One,97.0
Awakened One,97.0
Shield and Spear,96.0
Giant Head,96.0
The Heart,95.0
The Heart,95.0
Awakened One,95.0
Donu and Deca,94.0
The Heart,93.0
Nemesis,93.0
Time Eater,92.0
Automaton,92.0
Slavers,91.0
Automaton,90.0
Automaton,90.0
The Heart,90.0
The Heart,90.0
Collector,90.0
Collector,90.0
Reptomancer,89.0
Shield and Spear,89.0
Time Eater,89.0
Time Eater,89.0
Donu and Deca,88.0
The Heart,88.0
The Guardian,88.0
Giant Head,88.0
Automaton,88.0
Automaton,88.0
Automaton,88.0
Awakened One,88.0
The Heart,87.0
The Heart,87.0
Time Eater,87.0
The Heart,87.0
Reptomancer,87.0
2 Orb Walkers,87.0
The Heart,87.0
The Heart,87.0
The Heart,87.0
The Heart,86.0
Automaton,86.0
2 Orb Walkers,86.0
The Heart,86.0
Shield and Spear,86.0
The Heart,85.0
Donu and Deca,85.0
Awakened One,85.0
Book of Stabbing,85.0
Champ,84.0
Giant Head,84.0
Time Eater,84.0
The Guardian,84.0
Hexaghost,83.0
The Heart,83.0
2 Orb Walkers,83.0
Champ,83.0
Awakened One,83.0
Donu and Deca,83.0
Collector,82.0
Awakened One,82.0
Collector,82.0
The Heart,82.0
The Heart,82.0
Book of Stabbing,82.0
Cultist and Chosen,82.0
The Heart,81.0
Slavers,81.0
Awakened One,81.0
Time Eater,80.0
Giant Head,80.0
4 Shapes,80.0
Collector,80.0
Hexaghost,80.0
Time Eater,80.0
Snecko,80.0
Collector,80.0
Awakened One,79.0
Gremlin Nob,79.0
The Heart,79.0
Time Eater,79.0
The Heart,79.0
Lagavulin,79.0
Champ,79.0
Gremlin Nob,78.0
Slavers,78.0
Jaw Worm Horde,78.0
Reptomancer,78.0
The Heart,78.0
Slavers,78.0
Gremlin Leader,77.0
Automaton,77.0
Gremlin Nob,77.0
Champ,77.0
Slime Boss,77.0
Transient,77.0
Lagavulin,77.0
Donu and Deca,77.0
The Heart,77.0
The Heart,77.0
Champ,77.0
Gremlin Nob,76.0
Awakened One,76.0
Donu and Deca,76.0
Awakened One,76.0
Automaton,76.0
Automaton,76.0
The Heart,76.0
Shield and Spear,76.0
The Heart,76.0
Transient,75.0
Masked Bandits,75.0
Nemesis,75.0
Gremlin Leader,75.0
Gremlin Nob,75.0
Reptomancer,75.0
The Heart,75.0
Shield and Spear,75.0
Slavers,75.0
Snecko,75.0
Reptomancer,74.0
Slavers,74.0
Automaton,74.0
Transient,74.0
Automaton,74.0
Awakened One,74.0
Automaton,74.0
Reptomancer,74.0
The Heart,73.0
Collector,73.0
Shield and Spear,73.0
Automaton,73.0
The Guardian,73.0
Collector,73.0
Transient,72.0
Gremlin Nob,72.0
Hexaghost,72.0
Gremlin Leader,72.0
The Heart,72.0
Collector,72.0
Gremlin Nob,72.0
Hexaghost,72.0
The Heart,72.0
Time Eater,72.0
Hexaghost,72.0
The Heart,72.0
Lagavulin,72.0
Champ,72.0
Champ,72.0
Gremlin Nob,72.0
The Heart,72.0
Shield and Spear,71.0
Shield and Spear,71.0
The Heart,71.0
Shield and Spear,71.0
The Heart,71.0
Awakened One,71.0
Collector,71.0
Automaton,71.0
Awakened One,71.0
3 Darklings,71.0
Shield and Spear,71.0
Automaton,71.0
Gremlin Gang,71.0
The Heart,70.0
Gremlin Leader,70.0
Automaton,70.0
Lagavulin,70.0
Gremlin Leader,70.0
Automaton,70.0
The Heart,70.0
The Guardian,70.0
Lagavulin,70.0
Chosen and Byrds,70.0
Gremlin Leader,70.0
The Guardian,70.0
Collector,70.0
Awakened One,70.0
The Heart,70.0
Champ,70.0
Hexaghost,70.0
Time Eater,70.0
Donu and Deca,69.0
Champ,69.0
Automaton,69.0
Donu and Deca,69.0
Awakened One,69.0
Slavers,69.0
Giant Head,69.0
Champ,69.0
The Heart,69.0
Champ,69.0
Time Eater,69.0
Collector,69.0
Book of Stabbing,69.0
3 Shapes,69.0
The Heart,69.0
Shield and Spear,69.0
Champ,69.0
Collector,69.0
Hexaghost,68.0
The Heart,68.0
Time Eater,68.0
Collector,68.0
Time Eater,68.0
Time Eater,68.0
Transient,68.0
Awakened One,68.0
The Heart,68.0
Shield and Spear,68.0
The Heart,68.0
Lagavulin,68.0
Nemesis,68.0
Chosen and Byrds,68.0
Writhing Mass,68.0
3 Sentries,68.0
Gremlin Nob,68.0
Lagavulin,68.0
Shield and Spear,67.0
3 Sentries,67.0
Nemesis,67.0
Nemesis,67.0
Gremlin Leader,67.0
The Heart,67.0
Nemesis,67.0
Shield and Spear,67.0
Time Eater,67.0
Transient,67.0
The Heart,67.0
Collector,66.0
Awakened One,66.0
The Heart,66.0
Automaton,66.0
Awakened One,66.0
Time Eater,66.0
Automaton,66.0
Shield and Spear,66.0
Time Eater,66.0
The Heart,66.0
Collector,66.0
Nemesis,66.0
Collector,66.0
The Heart,66.0
The Heart,66.0
Automaton,65.0
Champ,65.0
Shelled Parasite and Fungi,65.0
2 Orb Walkers,65.0
Book of Stabbing,65.0
The Guardian,65.0
Reptomancer,65.0
Transient,65.0
Time Eater,65.0
The Heart,65.0
Shield and Spear,65.0
The Heart,65.0
Slime Boss,65.0
Collector,65.0
Time Eater,65.0
Slavers,65.0
The Heart,64.0
Collector,64.0
Hexaghost,64.0
Gremlin Leader,64.0
Slavers,64.0
Collector,64.0
Gremlin Nob,64.0
Reptomancer,64.0
The Guardian,64.0
Awakened One,64.0
Shield and Spear,64.0
Champ,64.0
Collector,64.0
Gremlin Nob,64.0
Giant Head,64.0
Hexaghost,64.0
Champ,64.0
4 Shapes,64.0
Automaton,63.0
The Heart,63.0
Time Eater,63.0
Hexaghost,63.0
Giant Head,63.0
Shield and Spear,63.0
Shelled Parasite and Fungi,63.0
Automaton,63.0
Donu and Deca,63.0
Awakened One,63.0
Shelled Parasite and Fungi,63.0
Automaton,63.0
The Heart,63.0
Collector,63.0
Automaton,63.0
Hexaghost,63.0
Hexaghost,63.0
The Heart,63.0
Time Eater,63.0
3 Cultists,63.0
Champ,63.0
Automaton,62.0
The Heart,62.0
Sphere and 2 Shapes,62.0
Shield and Spear,62.0
Reptomancer,62.0
Gremlin Nob,62.0
Slavers,62.0
Donu and Deca,62.0
Automaton,62.0
Donu and Deca,62.0
Donu and Deca,62.0
