Killed by,Count
Hexaghost,72
The Heart,67
Slavers,63
Slime Boss,56
Book of Stabbing,55
Gremlin Nob,46
Lagavulin,45
Collector,42
Gremlin Leader,35
The Guardian,32
Automaton,30
Champ,27
3 Sentries,26
Time Eater,25
Shelled Parasite and Fungi,18
Awakened One,18
Reptomancer,17
Donu and Deca,14
Centurion and Healer,12
3 Cultists,11
Snake Plant,11
Nemesis,10
Gremlin Gang,10
Giant Head,10
Exordium Thugs,9
Cultist and Chosen,8
Large Slime,7
Chosen and Byrds,7
Shield and Spear,7
The Mushroom Lair,6
Transient,6
Masked Bandits,6
Exordium Wildlife,6
2 Orb Walkers,6
Lots of Slimes,6
Snecko,5
Sentry and Sphere,5
3 Byrds,5
Blue Slaver,4
3 Louse,4
3 Darklings,4
Small Slimes,3
Shell Parasite,3
Red Slaver,3
Maw,2
Colosseum Slavers,2
Looter,2
Spire Growth,2
Colosseum Nobs,2
Writhing Mass,1
Spheric Guardian,1
Orb Walker,1
Lagavulin Event,1
2 Thieves,1
2 Louse,1
Sphere and 2 Shapes,1
Cultist,1
Jaw Worm Horde,1
