Relic,Win
Cracked Core,False
Cracked Core,False
Nunchaku,False
Blood Vial,False
Toy Ornithopter,False
Potion Belt,False
Astrolabe,False
FrozenCore,False
Eternal Feather,False
Strawberry,False
Anchor,False
Pocketwatch,False
Inserter,False
Red Mask,False
PrismaticShard,False
Potion Belt,False
MealTicket,False
Bottled Lightning,False
Cracked Core,False
Gambling Chip,False
Cracked Core,False
Lantern,False
CeramicFish,False
Darkstone Periapt,False
Velvet Choker,False
Cracked Core,False
Bird Faced Urn,False
Nunchaku,False
Old Coin,False
Cracked Core,False
Letter Opener,False
Molten Egg 2,False
Juzu Bracelet,False
FrozenCore,False
WarpedTongs,False
MawBank,False
Ancient Tea Set,False
DataDisk,False
Potion Belt,False
Blue Candle,False
Pantograph,False
Coffee Dripper,False
Thread and Needle,False
ClockworkSouvenir,False
Cracked Core,False
Pocketwatch,False
OrangePellets,False
Akabeko,False
DataDisk,False
Mango,False
MawBank,False
Cracked Core,False
Whetstone,False
Question Card,False
Du-Vu Doll,False
Nuclear Battery,False
Nuclear Battery,False
Membership Card,False
Emotion Chip,False
Cracked Core,False
Toy Ornithopter,False
Potion Belt,False
Bloody Idol,False
Astrolabe,False
Pen Nib,False
Cracked Core,False
Calipers,False
Pantograph,False
Whetstone,False
Cracked Core,False
Pen Nib,False
DataDisk,False
PreservedInsect,False
Orrery,False
Anchor,False
Philosopher's Stone,False
Vajra,False
Runic Capacitor,False
MawBank,False
Happy Flower,False
Whetstone,False
Inserter,False
Toolbox,False
Centennial Puzzle,False
Omamori,False
Girya,False
Kunai,False
Cracked Core,False
Cracked Core,False
Darkstone Periapt,False
Molten Egg 2,False
MawBank,False
Cracked Core,False
Calipers,False
WingedGreaves,False
Golden Idol,False
Odd Mushroom,False
Cracked Core,True
The Courier,True
Akabeko,True
Golden Idol,True
Bag of Preparation,True
Pandora's Box,True
OrangePellets,True
Sundial,True
White Beast Statue,True
Orichalcum,True
Red Mask,True
Calling Bell,True
CeramicFish,True
Darkstone Periapt,True
Thread and Needle,True
Frozen Eye,True
DataDisk,True
Pocketwatch,True
Turnip,True
PreservedInsect,True
Medical Kit,True
Centennial Puzzle,True
Cracked Core,False
Boot,False
Dream Catcher,False
Omamori,False
Cracked Core,False
NeowsBlessing,False
Pantograph,False
CaptainsWheel,False
HornCleat,False
Art of War,False
SlaversCollar,False
Orrery,False
Red Mask,False
Cracked Core,False
Lantern,False
Cracked Core,False
Molten Egg 2,False
Incense Burner,False
Cracked Core,False
Blue Candle,False
Dead Branch,False
Runic Capacitor,False
Pen Nib,False
Runic Pyramid,False
CeramicFish,False
Cracked Core,False
Sling,False
Omamori,False
Toy Ornithopter,False
PreservedInsect,False
Philosopher's Stone,False
Torii,False
Darkstone Periapt,False
DataDisk,False
Runic Pyramid,False
Happy Flower,False
WarpedTongs,False
Dream Catcher,False
Mummified Hand,False
Cracked Core,False
Golden Idol,False
Pear,False
HornCleat,False
Snecko Eye,False
Nilry's Codex,False
Toolbox,False
White Beast Statue,False
Ancient Tea Set,False
Cracked Core,False
Toxic Egg 2,False
Ornamental Fan,False
Inserter,False
Regal Pillow,False
White Beast Statue,False
Gremlin Horn,False
Cracked Core,False
Odd Mushroom,False
Ornamental Fan,False
Bag of Preparation,False
Cracked Core,False
Akabeko,False
MealTicket,False
Darkstone Periapt,False
Cursed Key,False
MawBank,False
Frozen Egg 2,False
Bird Faced Urn,False
White Beast Statue,False
Cracked Core,False
MawBank,False
Molten Egg 2,False
The Courier,False
Lantern,False
Regal Pillow,False
Cursed Key,False
Frozen Egg 2,False
Mummified Hand,False
Ancient Tea Set,False
Whetstone,False
Cracked Core,False
Art of War,False
Boot,False
Cracked Core,False
Letter Opener,False
Whetstone,False
Smiling Mask,False
Cursed Key,False
Gambling Chip,False
Bottled Flame,False
The Courier,False
Sundial,False
Runic Pyramid,False
Membership Card,False
PreservedInsect,False
Blood Vial,False
HornCleat,False
Nloth's Gift,False
DollysMirror,False
Cracked Core,False
Bag of Preparation,False
Letter Opener,False
Golden Idol,False
White Beast Statue,False
Runic Pyramid,False
Cracked Core,False
Eternal Feather,False
Cables,False
Shuriken,False
Nuclear Battery,False
CaptainsWheel,False
TheAbacus,False
Nunchaku,False
Art of War,False
Black Star,False
Cracked Core,False
Vajra,False
Blood Vial,False
Lantern,False
